Big VQE:
    Adam_20_0.0001 -0.002109182154526934 0.0025256209
    Adam_20_0.001 0.0009993098356062546 0.0013335377
    Adam_20_0.01 -1.7379882335662842 0.13101006
    Adam_20_0.1 -1.4099150896072388 0.04588735
    AMSGrad_20_0.0001 0.0003554449285729788 0.00046431416
    AMSGrad_20_0.001 -0.0004172261251369491 8.563149e-05
    AMSGrad_20_0.01 -1.5607251524925232 0.1919164
    AMSGrad_20_0.1 -1.6054604053497314 0.020864725
    Adadelta_20_0.0001 -0.00041850708657875657 7.125799e-05
    Adadelta_20_0.001 -0.0009463769674766809 8.8804954e-05
    Adadelta_20_0.01 -0.0011557700636330992 0.0013890935
    Adadelta_20_0.1 0.003332263178890571 0.0033332184
    Adagrad_20_0.0001 7.262136205099523e-05 0.00042273165
    Adagrad_20_0.001 -0.0017029576119966805 0.0023285712
    Adagrad_20_0.01 -0.000985416758339852 0.0016425097
    Adagrad_20_0.1 -0.6052686773182359 0.60555196
    Adamax_20_0.0001 0.000514290491992142 0.00074781536
    Adamax_20_0.001 -0.0009574406431056559 0.00036546326
    Adamax_20_0.01 -1.2736489176750183 0.06606084
    Adamax_20_0.1 -1.183541476726532 0.15011078
    Ftrl_20_0.0001 -4.920629181892622e-11 4.7262312e-11
    Ftrl_20_0.001 3.737993725314026e-11 2.3403801e-11
    Ftrl_20_0.01 5.235911574100194e-11 6.163332e-11
    Ftrl_20_0.1 1.824064527894409e-10 1.7341142e-10
    Nadam_20_0.0001 -0.0007973933679750189 0.0010189684
    Nadam_20_0.001 -1.0413734018802643 0.34215328
    Nadam_20_0.01 -1.1878814101219177 0.39058
    Nadam_20_0.1 0.0005424144474091008 0.00018633255
    RMSProp_20_0.0001 -0.001810008310712874 0.0006859492
    RMSProp_20_0.001 -1.0828211307525635 0.04606664
    RMSProp_20_0.01 -0.979354053735733 0.1868858
    RMSProp_20_0.1 -1.1394068002700806 0.16706574
    SGD_20_0.0001 0.0009998724999604747 0.0006501362
    SGD_20_0.001 -0.0005666507640853524 0.00091147237
    SGD_20_0.01 -0.00020769389811903238 0.0013023666
    SGD_20_0.1 5.5355019867420197e-05 0.0018328938
    Adam_25_0.0001 -0.00036442068449105136 0.00025763226
    Adam_25_0.001 -6.775389920221642e-06 8.87479e-05
    Adam_25_0.01 -0.8683658838272095 0.12163639
    Adam_25_0.1 -1.1528907418251038 0.40536493
    AMSGrad_25_0.0001 -0.00024105825286824256 9.033708e-05
    AMSGrad_25_0.001 -0.00010065345486509614 0.0001861154
    AMSGrad_25_0.01 -0.7736859023571014 0.092374116
    AMSGrad_25_0.1 -0.8378283381462097 0.11306769
    Adadelta_25_0.0001 -0.00011813982746389229 9.3218434e-05
    Adadelta_25_0.001 0.00011711746992659755 0.00018981328
    Adadelta_25_0.01 0.00022007822917657904 0.00022478485
    Adadelta_25_0.1 0.00021675011703337077 0.00020503941
    Adagrad_25_0.0001 6.833642692072317e-05 0.00013594073
    Adagrad_25_0.001 -0.0007560306403320283 0.00013838339
    Adagrad_25_0.01 -0.00016476385371788638 0.00014951889
    Adagrad_25_0.1 5.9488955230335705e-05 9.300362e-05
    Adamax_25_0.0001 -0.0004336830497777555 0.0004767052
    Adamax_25_0.001 -0.00012118995255150367 6.4298976e-05
    Adamax_25_0.01 1.762903411872685e-05 0.0005231028
    Adamax_25_0.1 -0.7205061316490173 0.113021016
    Ftrl_25_0.0001 -1.8558437824874156e-20 1.3473664e-20
    Ftrl_25_0.001 -9.560965582959458e-22 1.0732508e-21
    Ftrl_25_0.01 -1.3599137820615587e-12 1.6188355e-12
    Ftrl_25_0.1 2.0081268679167374e-11 2.4085936e-11
    Nadam_25_0.0001 0.00031636001949664205 0.00018599363
    Nadam_25_0.001 -0.0001131343306042254 0.0002524088
    Nadam_25_0.01 -1.0026225447654724 0.39790636
    Nadam_25_0.1 -0.00013381675307755359 9.609469e-05
    RMSProp_25_0.0001 -0.00016728020818845835 0.00019328004
    RMSProp_25_0.001 -0.0002769764541881159 6.4088235e-06
    RMSProp_25_0.01 -0.839826762676239 0.024397135
    RMSProp_25_0.1 -0.6343543152324855 0.62428916
    SGD_25_0.0001 0.0003657739798654802 0.00015613489
    SGD_25_0.001 -4.6505478167091496e-05 2.9021392e-05
    SGD_25_0.01 -0.00037233243347145617 0.00014126804
    SGD_25_0.1 -2.0370102447486715e-05 1.94635e-05

VQE:
    Nelder-Mead_5 2.7441741548069394 0.7536933918290739
    Powell_5 1.3368629352490535 0.3633936541345333
    CG_5 3.110112489357936 0.5147799934361488
    BFGS_5 2.4593158573328564 0.2545278444899304
    L-BFGS-B_5 2.7885683807724355 0.1373165838130379
    TNC_5 2.446230734389008 0.14773470541652278
